Nummer,,Typ,,,Max. Wdh,,,,,,NR,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,55001,55002,55003,55004,55005,55006,55007,55008,55009,55010,55011,55012,55013,55014,55015,55022,55023,55024,55035,55215,55036,55037,55038,55109,55110,55111,55230,55231,55112,55113,55115,55218,55219,55225,55226,55116,55117,55171,55119,55120,55121,55123,55124,55126,55127,55159,55160,55161,55173,55174,55175,55176,55185,55186,55187,55188,55189,55190,55133,55134,55135,55136,55137,55138,55232,55233,55234,55139,55140,55142,55220,55221,55222,55227,55228,55229,55143,55172,55145,55146,55147,55148,55149,55150,55151,55152,55153,55154,55155,55156,55157,55162,55163,55164,55165,55166,55167,55177,55178,55180,55181,55182,55191,55192,55193,55039,55040,55041,55042,55043,55044,55168,55169,55170,55051,55052,55053,55060,55194,55101,55102,55103,55104,55105,55106,55107,55108,55071,55072,55235,55235,55236,55236,55237,55238,55239,55240,55241,55242,55243,55553,55553,55553,55554,55554,55554,55555,55555,55556,55556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,327,RFF,C,D,9,1,3,Referenz auf die ID der Marktlokation,RFF+Z18:XXXXXXXXXX,Marktlokation,,S,ZAEHLER,marktlokationsId,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,328,RFF,C,D,9,1,3,Konfigurations-ID,RFF+AGK:34590456ujdfsdghdlktztwqq-053trg,Konfigurations-ID,,S,zaehler.zaehlwerke,konfiguration,,Schnittstelle fehlt noch,GW_DATA,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0440,329,PIA,C,R,9,1,3,OBIS-Kennzahl der Zähleinrichtung / Smartmeter-Gateway,PIA+5+1-1?:1.8.1:SRW,OBIS-Kennzahl,,S,zaehler.zaehlwerke,obisKennzahl,,macoDevices.macoRegisters.obisCode,"METER_DATA
VCD_DATA",,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Wertegranularität,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,M uss,Muss,Muss S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,Muss,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,330,CCI,M,M,1,1,3,Wertegranularität,CCI+++ZE4,Wertegranulatität,,,,,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,331,CAV,C,R,99,1,4,Wertegranularität,"CAV+ZD9
CAV+ZE8
CAV+ZE9
CAV+ZB7","Jährlich
Halbjährlich
Quartalsweise
Monatlich",,S,zaehler.zaehlwerke,wertegranularitaet,"ZD9 = ""JAEHRLICH""
ZE8 = ""HALBJAEHRLICH""
ZE9 = ""QUARTALSWEISE""
ZB7 = ""MONATLICH""",?,MELO_METERING,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Zugeordnetet Zählzeitdefiniton,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,Muss S,Muss S,Muss S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll,Soll,Soll,,Soll,Soll,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,332,CCI,M,M,1,1,3,Zugeordnete Zählzeitdefinition,CCI+Z39++XXX,Code der Zählzeitdefinition,,S,zaehler.zaehlwerke(unter korrespondierender Obis zu PIA+5).zaehlzeiten,zaehlzeitDefinition,bei Z47 = null,?,MELO_METERING,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Zugeordnete Zählzeitregister,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,Muss,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,333,CCI,M,M,1,1,3,Zugeordnete Zählzeitregister,CCI+Z38++XXX,Code der Zählzeitregister,,S,zaehler.zaehlwerke(unter korrespondierender Obis zu PIA+5).zaehlzeiten,register,,?,MELO_METERING,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Vor- und Nachkommastellen des Zählwerks,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,Muss,Muss,Muss S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,Muss,,Soll,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,334,CCI,M,M,1,1,3,Vor- und Nachkommastellen des Zählwerks,CCI+11++Z33,Vor- und Nachkommastellen des Zählwerks,,,,,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,335,CAV,C,R,99,1,4,Vor- und Nachkommastellen des Zählwerks,CAV+:::8:3,Angabe Vorkommastelle / Angabe Nachkommastelle,,S,zaehler.zaehlwerke (unter korrespondierender Obis zu PIA+5),"vorkommastellen
nachkommastellen",,"macoDevices.macoRegisters.integerDigits
macoDevices.macoRegisters.decimalDigits
DEVICE_MACO_DATA","METER_DATA
VCD_DATA",,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Bezeichnung des Zählwerks auf dem Gerät,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,Muss,Muss,Muss S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,Muss,,Soll,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,336,CCI,M,M,1,1,3,Bezeichnung des Zählwerks auf dem Gerät,CCI+++Z63:::HAT,                                          ,,S,zaehler.zaehlwerke (unter korrespondierender Obis zu PIA+5),bezeichnung,,"macoDevices.macoRegisters.label
DEVICE_MACO_DATA","METER_DATA
VCD_DATA",,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Schwachlastfähigkeit,,,,,,,,,,,Muss S,,,,,,,,,,,Muss S,Muss S,,,,,Muss S,,,,,,,,,,,,,,,,,Muss S,Muss S,Muss S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss S,Muss S,Muss S,,Muss S,Muss S,Muss S,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,337,CCI,M,M,1,1,3,Schwachlastfähigkeit,"CCI+Z10++Z59
CCI+Z10++Z60","Nicht-Schwachlast fähig
Schwachlast fähig",,S,zaehler.zaehlwerke (unter korrespondierender Obis zu PIA+5),schwachlastfaehig,"Z59 -> ""NICHT_SCHWACHLASTFAEHIG""
Z60 -> ""SCHWACHLASTFAEHIG""","macoDevices.macoRegisters.lowLoadCapable
DEVICE_MACO_DATA",METER_DATA,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Wandlerdaten,,,,,,,,,,,Soll S,,,,,,,,,,,Soll S,Soll S,,,,,Soll S,,,,,,,,,,,,,,,,,Muss G,Muss G,Muss G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kann S,Kann S,Sol S,,Soll S,Kann S,Soll S,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll S,,Soll S,Soll S,,,,,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,338,SEQ,M,M,1,1,2,Wandlerdaten,SEQ+Z04+2,"Z04 Wandlerdaten
ZB9 Erwartete Wandlerdaten
ZC0 Im System vorhandene Wandlerdaten
ZF7 Informative Wandlerdaten
+
Referenz auf Zeitraum ID",,S,ZAEHLER,"datenqualitaet
gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)","Z04 -> GUELTIGE_DATEN
ZB9 -> ERWARTETE_DATEN
ZC0 -> IM_SYSTEM_VORHANDENE_DATEN
ZF7 -> INFORMATIVE_DATEN",,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,339,RFF,C,D,9,9,3,Referenz auf die Gerätenummer,RFF+MG:XXXXXXXXXXX,Gerätenummer des Zählers,,S,zaehler,zaehlernummer,,"macoDevices.serialNumber
macoDevices.deviceBasicType = METER
DEVICE_MACO_DATA",CONVERTER_DATA,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Wandler,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,M;uss,Muss,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,340,CCI,M,M,1,1,3,Wandler,CCI+++Z25,Wandler,,,zaehler.geraete.geraeteeigenschaften,geraetetyp = WANDLER,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,341,CAV,C,R,99,3,4, ,CAV+Z30:::XXXXXXXXXX:X,Gerätenummer Wandler,,S,zaehler.geraete,"geraetenummer
weitereGeraetenummern (wenn mehr als ein CAV+Z30 vorhanden, weitere Gerätenummern anhängen)",,"macoDevices.serialNumber
macoDevices.deviceBasicType = CONVERTER
DEVICE_MACO_DATA",CONVERTER_DATA,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,342,CAV,C,D,99,1,4,Wandlertyp und Faktor,CAV+MIW:::100,"MIW Messwandlersatz Strom
MPW Kombimesswandlersatz (Strom und Spannung)
MBW Blockstromwandler
MUW Messwandlersatz Spannung
+
Wandlerfaktor",,S,"zaehler.geraete.geraeteeigenschaften

","
geraetemerkmal (ENUM)

faktor","MBW -> BLOCKSTROMWANDLER
MIW -> MESSWANDLERSATZ_IMS_MME
MPW -> KOMBIMESSWANDLER
MUW -> SPANNUNGSWANDLER","macoDevices.macoDeviceCapabilities.electricityConversionType:
macoDevices.macoDeviceCapabilities.electricityConversionFactor
DEVICE_MACO_DATA",CONVERTER_DATA,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Kommunikationseinrichtungsdaten,,,,,,,,,,,Muss/Soll,,,,,,,,,,,Muss/Soll,Muss/Soll,,,,,Muss/Soll,,,,,,,,,,,,,,,,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kann,Kann S,Muss,,Soll,Kann,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,343,SEQ,M,M,1,1,2,Kommunikationseinrichtungsdaten,SEQ+Z05+2,"Z05 Kommunikationseinrichtungsdaten
ZB7 Erwartete Kommunikationseinrichtungsdaten
ZB8 Im System vorhandene Kommunikationseinrichtungsdaten
ZF8 Informative Kommunikationseinrichtungsdaten
+
Referenz auf Zeitraum ID",,S,ZAEHLER,"datenqualitaet
gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)","Z05 -> GUELTIGE_DATEN
ZB7 -> ERWARTETE_DATEN
ZB8 -> IM_SYSTEM_VORHANDENE_DATEN
ZF8 -> INFORMATIVE_DATEN",,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,344,RFF,C,D,9,9,3,Referenz auf die Gerätenummer,RFF+MG:XXXXXXXXXXX,Gerätenummer des Zählers,,S,zaehler,zaehlernummer,,"macoDevices.serialNumber
macoDevices.deviceBasicType = METER
DEVICE_MACO_DATA",COMDEV_DATA,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Kommunikationseinrichtung,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,Muss,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,345,CCI,M,M,1,1,3,Kommunikationseinrichtung,CCI+++Z26,Kommunikationseinrichtung,,,zaehler.geraete.geraeteeigenschaften,geraetetyp = KOMMUNIKATIONSEINRICHTUNG,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,346,CAV,C,R,99,1,4,Identifikation / Nummer des Gerätes,CAV+Z30:::XXXXXXXXXX,Gerätenummer Kommunikationseinrichtung,,S,"zaehler.geraete

Wenn SEQ+Z13 vorhanden:
zaehler
","geraetenummer

Wenn SEQ+Z13 vorhanden:
gateway",,"macoDevices.serialNumber
macoDevices.deviceBasicType = COMMUNICATION
DEVICE_MACO_DATA",COMDEV_DATA,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,347,CAV,C,D,99,1,4,Kommunikationseinrichtungstyp,"CAV+GSM
CAV+ETH
CAV+PLC
CAV+PST
CAV+DSL
CAV+LTE","GSM/GPRS/UMTS-Kom.-Einr.
Ethernet-Kom.-Einricht. LAN/WLAN
PLC-Kom.-Einrichtung
Festnetz-Kom.-Einricht. TAE
DSL-Kom.Einr.
LTE-Kom.-Einr.",,S,zaehler.geraete.geraeteeigenschaften,"
geraetemerkmal (ENUM)
","GSM = MODEM_GSM
ETH = ETHERNET_KOM
PLC = PLC_COM
PST = MODEM_FESTNETZ
DSL = DSL_KOM
LTE = LTE_KOM","macoDevices.macoDeviceCapabilities.deviceCommunicationType
DEVICE_MACO_DATA",COMDEV_DATA,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Daten der technischen Steuereinrichtung,,,,,,,,,,,Soll,,,,,,,,,,,Soll,Soll,,,,,Soll,,,,,,,,,,,,,,,,,Soll,Soll,Soll S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kann,Kann S,Soll,,Soll,Kann,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll,,Soll,Soll,,,,,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,348,SEQ,M,M,1,1,2,Daten der technischen Steuereinrichtung,SEQ+Z06+2,"Z06 Daten der technischen Steuereinrichtung
ZC1 Erwartete Daten der technischenSteuereinrichtung
ZC2 Im System vorhandene Daten der technischen Steuereinrichtung
ZF9 Informative Daten der technischen Steuereinrichtung
+
Referenz auf Zeitraum ID",,S,ZAEHLER,"datenqualitaet
gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)","Z06 -> GUELTIGE_DATEN
ZC1 -> ERWARTETE_DATEN
ZC2 -> IM_SYSTEM_VORHANDENE_DATEN
ZF9 -> INFORMATIVE_DATEN",,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,349,RFF,C,D,9,9,3,Referenz auf die Gerätenummer,RFF+MG:XXXXXXXXXXX,Gerätenummer des Zählers,,S,zaehler,zaehlernummer,,"macoDevices.serialNumber
macoDevices.deviceBasicType = METER
DEVICE_MACO_DATA",CONDEV_DATA,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Technische Steuereinrichtung,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,Muss,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,350,CCI,M,M,1,1,3,Technische Steuereinrichtung,CCI+++Z27,Technische Steuereinrichtung,,,zaehler.geraete.geraeteeigenschaften,geraetetyp = STEUEREINRICHTUNG,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
