jsonStructure,Group1,Group2,Parameter,type,pattern,pattern,Beispiel,Beschreibung,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E
body,dataMarketLocation,dataMarketLocationGeographicCoordinates,zone,array,"UTMZone31, UTMZone32, UTMZone33","UTMZone31, UTMZone32, UTMZone33",UTMZone31,,S,MARKTLOKATION[].geokoordinaten,zone,
body,dataMarketLocation,dataMarketLocationGeographicCoordinates,northing,string,,,string,Gauß-Krüger Hochwert. Umgerechneter Wert muss Min/Max für Länge/Breite entsprechen.,S,MARKTLOKATION[].geokoordinaten,hochwert,
body,dataMarketLocation,dataMarketLocationGeographicCoordinates,easting,string,,,string,Gauß-Krüger Rechtswert. Umgerechneter Wert muss Min/Max für Länge/Breite entsprechen.,S,MARKTLOKATION[].geokoordinaten,rechtswert,
body,dataTranches,,,Schema,,,,Schemarahmen für dataTranches,S,,,
body,dataTranches,,tranchenId,string,\d{11},\d{11},57685676742,Identifiziert die Tranche mittels einer eindeutigen ID,S,TRANCHE[],tranchenId,
body,dataTranches,,proportion,string,"bilateralAgreement, percent","bilateralAgreement, percent",percent,Gibt die Bildungslogik der Tranche an,S,TRANCHE[],bildungTranchengroesse,"percent -> PROZENTUAL
bilateralAgreement -> AUFTEILUNGSFAKTOR"
body,dataTranches,,percent,number,"\d{1,2}(\.[\d]{1,3})?","\d{1,2}(\.[\d]{1,3})?",75.912,"Prozentualer Wert, wenn proportion mit percent vorhanden ist.",S,TRANCHE[].aufteilungsmenge,"wert
einheit = ""PROZENT""","Objekt aufteilungsmenge ist nur zu bilden, wenn proportion=percent"
body,dataTranches,dataTrancheSuppliers,,Schema,,,,Schemarahmen für dataTrancheSuppliers,S,,,
body,dataTranches,dataTrancheSuppliers,marketPartnerId,integer,\d{13},\d{13},9900987654321,Identifiziert den Marktpartner (Marktpartner-ID),S,"TRANCHE[].marktrollen[marktrolle=""LF""]",rollencodenummer,
body,dataTranches,dataTrancheSuppliers,executionTimeFrom,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Beginnzeitpunkt, Zeitpunkt zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"TRANCHE[].marktrollen[marktrolle=""LF""]",zuordnungVon,
body,dataTranches,dataTrancheSuppliers,executionTimeUntil,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Endezeitpunkt, Zeitpunkt bis zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"TRANCHE[].marktrollen[marktrolle=""LF""]",zuordnungBis,
body,dataMeterLocations,,,Schema,,,,Schemarahmen für dataMeterLocations,S,,,
body,dataMeterLocations,,meloId,string,"DE\d{11}[A-Z,\d]{20}","DE\d{11}[A-Z,\d]{20}",DE00014545768S0000000000000003054,Identifiziert die Messlokation mittels einer eindeutigen ID,S,MESSLOKATION[],messlokationsId,
body,dataMeterLocations,,meterNumber,string,,,1SM-8465929523,Identifiziert das Gerät der Messlokation mittels Gerätenummer,S,MESSLOKATION[],messlokationszaehler[0],
body,dataMeterLocations,dataMeterLocationMeasuringPointOperators,,Schema,,,,Schemarahmen für dataMeterLocationMeasuringPointOperators,S,,,
body,dataMeterLocations,dataMeterLocationMeasuringPointOperators,marketPartnerId,integer,\d{13},\d{13},9900987654321,Identifiziert den Marktpartner (Marktpartner-ID),S,"MESSLOKATION[].marktrollen[marktrolle=""MSB""]",rollencodenummer,
body,dataMeterLocations,dataMeterLocationMeasuringPointOperators,executionTimeFrom,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Beginnzeitpunkt, Zeitpunkt zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"MESSLOKATION[].marktrollen[marktrolle=""MSB""]",zuordnungVon,
