0170,,SG5,M,M,99999,99999,1,"Liefer-, bzw. Bezugsort",,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss
0180,15,NAD,M,M,1,1,1,Name und Adresse,"NAD+DP
NAD+DED
NAD+Z15","Lieferanschrift
Profilerstellung
Überführungszeitreihe",,,,,,PROZESSLOGIK,DP,DP,DP,DP,DP,DP,DP,DP,DP,DED,DED,DED,DP,DP,Z15,Z15,Z15,DP,DP,DP,DP,DP,DP
0190,,SG6,M,D,99999,1,2,Bilanzkreis,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,
0200,16,LOC,M,M,1,1,2,Bilanzkreis,LOC+237+11XUENBSOLS----X+11XVNBSOLS-----X,Bilanzkreis ,S,bilanzierung,"bilanzkreisAn
bilanzkreisVon",,,,,,,,,,,,,,,,,,X,X,,,,,,,
0190,,SG6,M,M,99999,1,2,Wert- und Erfassungsangaben zum Objekt,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss
0200,17,LOC,M,M,1,1,2,Identifikationsangabe,"LOC+107+11YR000000011247
LOC+172+DE00014559929E00856996N5139699L01
LOC+Z04+H0
LOC+Z06+TP1","Bilanzierungsgebiet
Meldepunkt
Profilbezeichnung
Profilschar",S,"marktlokation
energiemenge
bilanzierung.lastprofile
bilanzierung.lastprofile","bilanzierungsgebiet
lokationsId
bezeichnung
profilschar","MALO (11-stellig)
MELO (33-stellig)
TRANCHE
NELO
NKP",,,LOC+172,LOC+172,LOC+172,LOC+172,LOC+172,LOC+172,LOC+172,LOC+172,LOC+172,LOC+Z04,LOC+Z06,LOC+Z04,LOC+172,LOC+172,LOC+107,LOC+107,LOC+172,LOC+172,LOC+172,LOC+172,LOC+172,LOC+172,LOC+172
0210,18,DTM,C,D,9,1,3,Beginn Messperiode Übertragunszeitraum,DTM+163:CCYYMMDDHHMMZZZ:303,Beginn Messperiode,S,energiemenge,startdatum,UTC -> 303,,METERING_DATA,,,,,,,X,X,X,,,,,,X,X,,X,X,X,,,
0210,19,DTM,C,D,9,1,3,Ende Messperiode Übertragungszeitraum,DTM+164:CCYYMMDDHHMMZZZ:303,Ende Messperiode,S,energiemenge,enddatum,UTC -> 303,,METERING_DATA,,,,,,,X,X,X,,,,,,X,X,,X,X,X,,,
0210,20,DTM,C,D,9,1,3,Bilanzierungsmonat,DTM+492:CCYYMM:610,Bilanzierungsdatum,S,energiemenge,bilanzierungsdatum,,,,,,,,,,,,,,,,X,X,,,X,,,,,,
0210,21,DTM,C,D,9,1,3,Versionsangabe,DTM+293:CCYYMMDDHHMMSSZZZ:304,Fertigstellungsdatum/-zeit,S,energiemenge,fertigstellungsdatum,,,,,,,,,,,,,X,X,X,X,X,,,X,X,X,X,X,,
0210,22,DTM,C,D,9,1,3,"Gültigkeit, Beginndatum Profilschar",DTM+157:CCYYMM:610,Profilschar gültig ab,S,energiemenge,beginndatum,,,,,,,,,,,,,,X,,,,,,,,,,,,
0220,,SG7,C,D,99,1,3,Referenzangaben,,,,,,,,,Muss,,,,Muss,,,,,,,,,,,,,,,,,,
0230,23,RFF,M,M,1,1,3,Gerätenummer,RFF+MG:8465929523,Gerätenummer Referenz,S,zaehler,zaehlernummer,,,METERING_DATA,X,,,,X,,,,,,,,,,,,,,,,,,
0220,,SG7,C,D,99,1,3,Referenzangaben,,,,,,,,,Soll,Soll,,,,,,,,,,,,,,,,,,,,,
0230,24,RFF,M,M,1,1,3,Konfigurations-ID,RFF+AGK:34590456ujdfsdghdlktztwqq-053trg,Konfigurations-ID,S,energiemenge,konfiguration,,,METERING_DATA,X,X,,,,,,,,,,,,,,,,,,,,,
0250,,SG8,C,D,99,1,3,Zeitreihentyp,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,Muss,,,,,,
0260,25,CCI,M,M,1,1,3,Zeitreihentyp,CCI+15++XXX,Zeitreihentyp Überführungszeitreihe,S,bilanzierung,zeitreihentyp,,,,,,,,,,,,,,,,,,X,X,X,,,,,,
0280,,SG9,C,D,99999,99999,3,Positionsdaten,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,
