Nummer,,Typ,,,Max. Wdh,,,,,,NR,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,44001,44002,44003,44004,44005,44006,44007,44008,44009,44010,44011,44012,44013,44014,44015,44019,44020,44021,44022,44023,44024,44035,44215,44036,44037,44038,44109,44112,44113,44115,44116,44117,44119,44120,44121,44123,44124,44159,44160,44161,44175,44176,44137,44138,44139,44140,44142,44143,44172,44145,44146,44147,44148,44149,44150,44151,44152,44156,44157,44162,44163,44164,44165,44166,44167,44180,44181,44182,44039,44040,44041,44042,44043,44044,44168,44169,44170,44051,44052,44053,44060,44101,44102,44103,44104,44105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0370,42,DTM,C,D,9,1,3,Start des Abrechnungsjahr bei Marktlokationen mit Jahresleistungspreis,DTM+155:CCYYMMDDHHMMZZZ:303,Beginn Abrechnungsjahr,,S,vetrag.netznutzungsvertrag.vertragskonditionen,startAbrechnungsjahr,,"contract.gridUsageContract = CUSTOMER_DSO ??
podScheduling.nextBillingPeriod.startPeriod
Uhrzeit fehlt in powercloud Struktur!",MALO_DATA,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0370,43,DTM,C,D,9,1,3,Abrechnungsintervall des LF,DTM+Z20:12:802,Abrechnungintervall des LF (1/3/6/12 zulässig),,S,vertrag.energieliefervertrag.vertragskonditionen,abrechnungsintervall,,podScheduling.billingInterval,MALO_DATA,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0370,44,DTM,C,D,9,1,3,Termin der Netznutzungsabrechnung,"DTM+Z21:MMWWMMWW:104
DTM+Z21:MMDD:106","Angabe Zeitraum NN Abrechnung
Angabe Tag NN Abrechnung",,S,vetrag.netznutzungsvertrag.vertragskonditionen.netznutzungsabrechnung,abrechnungsZeitraum,noch offen Datumskonvertierung ,"podScheduling.dsoNextMeterReadingPeriod.startPeriod
podScheduling.dsoNextMeterReadingPeriod.endPeriod
podScheduling.dsoNextMeterReadingMonthAndDay",MALO_DATA,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0370,45,DTM,C,D,9,1,3,Nächste Netznutzungsabrechnung,DTM+Z09:CCYY:602,Nächste NN-Abrechnung,,S,vetrag.netznutzungsvertrag.vertragskonditionen,naechstenetznutzungsabrechnung,,podScheduling.nextBillingYear,MALO_DATA,,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0370,46,DTM,C,D,9,1,3,Netznutzungsabrechnungsintervall des NB,DTM+Z22:12:802,Netznuntzungsabrechnungs- bzw. Einseisevergütungsintervall des NB (1/3/6/12 zulässig),,S,vetrag.netznutzungsvertrag.vertragskonditionen,netznutzungsabrechnungIntervall,,podScheduling.dsoMeterReadingInterval,MALO_DATA,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0350,,SG6,C,D,99,99,2,Termine der Messlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0360,47,RFF,M,M,1,1,2,Referenz auf die ID der Messlokation für Termine der Messlokation,RFF+Z19:DE0000000000000000000000000000000,Messlokation,,S,vertrag.messstellenbetriebsvertrag,"lokationsId
lokationsTyp = MELO",,meloDesignation,MELO_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,K,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0370,48,DTM,C,D,9,1,3,Turnusablesung des NB,"DTM+752:MMWWMMWW:104
DTM+752:MMDD:106","Angabe Zeitraum Turnusablesung
Angabe Tag Turnusablesung",,S,"vetrag.messstellenbetriebsvertrag.vertragskonditionen.geplanteTurnusablesung

VERTRAG.messstellenbetriebsvertrag.lokationsTyp = ""MELO""",ableseZeitraum,noch offen Datumskonvertierung ,"podScheduling.dsoNextMeterReadingPeriod.startPeriod
podScheduling.dsoNextMeterReadingPeriod.endPeriod
podScheduling.dsoNextMeterReadingMonthAndDay
MALO_DATA!",MELO_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Daten der Marktlokation,,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Soll,Soll,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Soll,Soll,,Muss S,Muss S,,Muss,,Muss,,,,,Muss,Muss,Soll,Soll,Soll,Soll,Soll,Muss,Muss,Muss,,Muss,Muss,Muss,Muss,Soll,,Muss,Muss,,,,,,,Muss,Muss,,,,,,Muss,,Muss,Muss,,,,,Muss S,Muss S,Muss S,Muss S,Muss S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,49,SEQ,M,M,1,1,2,Daten der Marktlokation,SEQ+Z01,Daten der Marktlokation,,,,,,,PROZESSLOGIK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,X,,X,,,,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,,,,,,,X,X,,,,,,X,,X,X,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0450,,SG9,C,D,99,1,3,Veranschlagte Jahresmenge gesamt,,,,,,,,,,Kann,Muss,,,,,,,,,,,Muss,Muss,,Muss,Kann ,Soll,,,,Muss,Muss,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,Kann,Muss,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0460,50,QTY,M,M,1,1,3,Veranschlagte Jahresmenge gesamt,QTY+31:XXXX:KWH,Veranschlagte Jahresmenge gesamt,,S,bilanzierung.jahresverbrauchsprognose,"wert
einheit",,podConsumption.consumption,EDM_DATA,X,X,,,,,,,,,,,X,X,,X,X,X,,,,X,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,X,X,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0450,,SG9,C,D,99,1,3,TUM Kundenwert,,,,,,,,,,Kann,Soll,,,,,,,,,,,Soll,Soll,,Soll,Kann,Soll,,,,Soll,,,,,,,,,,,,,,Soll,,,,,,,,,,,,,,,,,,,,,,Kann,Muss,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0460,51,QTY,M,M,1,1,3,TUM Kundenwert,QTY+Y02:XXXX:KWH,Kundenwert TUM,,S,bilanzierung.kundenwert,wert,,podConsumption.consumptionFactor,EDM_DATA,X,X,,,,,,,,,,,X,X,,X,X,X,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0450,,SG9,C,D,99,1,3,Vorjahresverbrauch vom Lieferant,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0460,52,QTY,M,M,1,1,3,Vorjahresverbrauch vom Lieferant,QTY+Z09:XXXX:KWH,Vorjahresverbrauch,X,S,bilanzierung.vorjahresverbrauch,"wert
einheit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,5,3,Bilanzkreis,,,,,,,,,,Muss,Muss,,,,,,,,,,,Muss,Muss,,Muss,Kann,Soll,,,,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,Kann,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,53,CCI,M,M,1,1,3,Bilanzkreis,CCI+Z19++XXXXXXXXXXXXXXXX,Bilanzkreis,,"T

S","

Bilanzierung","bilanzkreis.bezeichnung (INBOUND)

bilanzkreis (OUTBOUND)",,balancingGroup.externalCode,EDM_DATA,X,X,,,,,,,,,,,X,X,,X,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,54,CAV,C,D,99,1,4,Angabe der Priorisierung für GeLi Gas,"CAV+Z75
CAV+Z76
CAV+Z77
CAV+Z78
CAV+Z79","1. Priorität
2. Priorität
3. Priorität
4. Priorität
5. Priorität",,T,,bilanzkreis.prioritaet,"Z75 -> 1
Z76 -> 2
Z77 -> 3
Z78 -> 4
Z79 -> 5",,INFO,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,2,3,Marktgebiet,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,,,,Soll G,,,,,,,,,,,,,,,,,Kann G,,Soll G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,55,CCI,M,M,1,1,3,Marktgebiet,CCI+Z21++37Y005053MH0000R,Marktgebiet,,S,marktlokation,marktgebiet,,grid.gasMarketArea,EDM_DATA,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Druckebene der Marktlokation,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,,,,Soll G,,,,,,,,,,,,,,,,,Kann G,,Soll G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,56,CCI,M,M,1,1,3,Druckebene der Marktlokation,CCI+++Y01,Druckebene Malo,,,,,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,57,CAV,C,R,99,1,4,Druckebene der Marktlokation,"CAV+Y01
CAV+Y02
CAV+Y03","Hochdruck
Mitteldruck
Niederdruck",,S,marktlokation,netzebene,"HD = Y01
MD = Y02
ND = Y03",grid.voltageLevel,MALO_DATA,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Prognosegrundlage der Marktlokation,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,Muss,Kann,Soll,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kann,Muss,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,58,CCI,M,M,1,1,3,Prognosegrundlage der Marktlokation,"CCI+++ZC0
CCI+++ZA6","Prognose auf Basis von Werten
Prognose auf Basis von Profilen",,S,bilanzierung,prognosegrundlage,"ZC0 -> ""WERTE""
ZA6 -> ""PROFILE""","groupAttribution.basicMeasuringMethod - SLP, TLP = PROFILE / RLM = WERTE",EDM_DATA,,X,,,,,,,,,,,X,X,,X,X,X,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,X,X,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Bereits ausgetauschte Prognosegrundlage der Marktlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,,,,,,,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,59,CCI,M,M,1,1,3,Bereits ausgetauschte Prognosegrundlage der Marktlokation,"CCI+++ZB0
CCI+++ZB1","Prognose auf Basis von Werten gültig
Prognose auf Basis von Profilen gültig",,S,bilanzierung,prognosegrundlage,"ZB0 -> ""WERTE""
ZB1 -> ""PROFILE""","groupAttribution.basicMeasuringMethod - SLP, TLP = PROFILE / RLM = WERTE",PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Gruppenzuordnung (nach EnWG),,,,,,,,,,Muss,Muss,,,,,,,,,,,Muss,Muss,,Muss,Kann,Soll,,,,Muss,,,,,Soll,,,,,,,,,,,,,,,,Kann,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,60,CCI,M,M,1,1,3,Gruppenzuordnung (nach EnWG),"CCI+++Z15
CCI+++Z18","Haushaltskunde gem. EnWG
kein Haushaltskunde gem. EnWG",,S,vetrag.netznutzungsvertrag.vertragskonditionen,haushaltskunde,"Z15 = true
Z18 = false",groupAttribution.basicAttribution,MALO_DATA,X,X,,,,,,,,,,,X,X,,X,X,X,,,,X,,,,,X,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Fallgruppenzuordnung,,,,,,,,,,Kann,Muss,,,,,,,,,,,Muss,Muss,,Muss,Kann,Soll,,,,Muss,,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,Kann G,Muss,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,61,CCI,M,M,1,1,3,Fallgruppenzuordnung,"CCI+++Z17:GABi-RLMNEV
CCI+++Z17:GABi-RLMmT
CCI+++Z17:GABi-RLMoT
CCI+++Z17:GABi-SLPana
CCI+++Z17:GABi-SLPsyn","Nominierungsersatzverfahren - Exit
RLM-Kunde in Tagesregime - Exit
RLM-Kunde im Stundenregime - Exit
SLP-Kunden analytisches Verfahren - Exit
SLP-Kunden synthetisches Verfahren - Exit",,S,bilanzierung,fallgruppenzuordnung,"GABi-RLMmT -> ""GABI_RLMmT""
GABi-RLMoT -> ""GABI_RLMoT""
GABi-RLMNEV -> ""GABI_RLMNEV""",groupAttribution.profileAssignmentType,EDM_DATA,"GABi-RLMNEV
GABi-RLMmT
GABi-RLMoT","GABi-RLMNEV
GABi-RLMmT
GABi-RLMoT",,,,,,,,,,,"GABi-RLMNEV
GABi-RLMmT
GABi-RLMoT","GABi-RLMNEV
GABi-RLMmT
GABi-RLMoT",,"GABi-RLMNEV
GABi-RLMmT
GABi-RLMoT","GABi-RLMNEV
GABi-RLMmT
GABi-RLMoT","GABi-RLMNEV
GABi-RLMmT
GABi-RLMoT",,,,"GABi-RLMNEV
GABi-RLMmT
GABi-RLMoT",,,,,,,,,,,,,,"GABi-RLMNEV
GABi-RLMmT
GABi-RLMoT",,,,,,,,,,,,,,,,,,,,,,"X
X
X

","X
X
X

",,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Netznutzung,,,,,,,,,,Muss,Muss,,,,,,,,,,,Muss,Muss,,Muss,Kann,Soll,,,,Muss,,,,,,Soll ,,,,,,,,,,,,,,,,,Kann,,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,62,CCI,M,M,1,1,3,Netznutzung,CCI+++Z88,Netznutzung,,,,,,,PROZESSLOGIK,X,X,,,,,,,,,,,X,X,,X,X,X,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,63,CAV,C,R,99,1,4,Netznutzungsvertrag,"CAV+Z74:::Z08
CAV+Z74:::Z09","Direkter Vertrag zwischen Kunden und NB
Vertrag zwischen Lieferanten und NB",,S,vetrag.netznutzungsvertrag.vertragskonditionen,netznutzungsvertrag,"Z08 = ""KUNDEN_NB""
Z09 = ""LIEFERANTEN_NB""",contract.gridUsageContract,MALO_DATA,X,X,,,,,,,,,,,X,X,,X,X,X,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,64,CAV,C,D,99,1,4,Zahlung der Netznutzung,"CAV+Z73:::Z10
CAV+Z73:::Z11","Kunde
Lieferant",,S,vetrag.netznutzungsvertrag.vertragskonditionen,netznutzungszahler,"Z10 = ""KUNDE""
Z11 = ""LIEFERANT""",contract.gridUsagePayer,MALO_DATA,X,X,,,,,,,,,,,X,X,,X,X,X,,,,S,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,65,CAV,C,D,99,1,4,Netznutzungsabrechnungsvariante,"CAV+ZB1:::Z14
CAV+ZB1:::Z15","Arbeitspreis/Grundpreis
Arbeitspreis/Leistungspreis",,S,vetrag.netznutzungsvertrag.vertragskonditionen,netznutzungsabrechnungsvariante,"Z14 = ""ARBEITSPREIS_GRUNDPREIS""
Z15 = ""ARBEITSPREIS_LEISTUNGSPREIS""",contract.gridUsageBilling,MALO_DATA,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Betriebszustand der Marktlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll ,,,,,,,,,,,,,,,,,Kann S,,Soll S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,66,CCI,M,M,1,1,3,Betriebszustand der Marktlokation,"CCI+Z42++ZB9
CCI+Z42++ZD3","Marktlokation gesperrt
Marktlokation im Regelbetrieb",,S,marktlokation,sperrstatus,"ZB9 = ""GESPERRT""
ZD3 = ""ENTSPERRT""",operationCondition,MALO_DATA,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,OBIS-Daten der Marktlokation,,,,,,,,,,,Muss,,,,,,,,,,,Muss S,Muss S,,,,,,,,Muss,Muss,,,,,Soll,,,Muss S,Muss S,,,,,,,,,,,,,Kann,,Soll,Kann S,Kann S,Muss S,,Kann S,Kann S,Muss S,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,67,SEQ,M,M,1,1,2,OBIS-Daten der Marktlokation,SEQ+Z02,,,,,,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,X,,,,,X,,,X,X,,,,,,,,,,,,,X,,X,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0440,68,PIA,C,R,9,1,3,OBIS-Kennzahl der Marktlokation,PIA+5+1-1?:1.9.1:SRW,OBIS-Kennzahl,,S,marktlokation.zaehlwerke,obisKennzahl,,obisData.obisCode,MALO_METERING,,X,,,,,,,,,,,X,X,,,,,,,,X,X,,,,,X,,,X,X,,,,,,,,,,,,,X,,X,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Wertegranularität,,,,,,,,,,,Muss ,,,,,,,,,,,Muss S,Muss S,,,,,,,,Muss S,,,,,,,,,Muss,Muss,,,,,,,,,,,,,Muss,,Muss,Muss,Muss,Muss,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,69,CCI,M,M,1,1,3,Wertegranularität,CCI+++ZE4,Wertegranulatität,,,,,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,X,,X,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,70,CAV,C,R,99,1,4,Wertegranularität,"CAV+ZD9
CAV+ZE8
CAV+ZE9
CAV+ZB7","Jährlich
Halbjährlich
Quartalsweise
Monatlich",,S,marktlokation.zaehlwerke,wertegranularitaet,"ZD9 = ""JAEHRLICH""
ZE8 = ""HALBJAEHRLICH""
ZE9 = ""QUARTALSWEISE""
ZB7 = ""MONATLICH""",?,MALO_METERING,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,X,,X,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Konzessionsabgabedaten,,,,,,,,,,Soll,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,,,,Soll,,,,,,,,,,,,,,,,,Kann,,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
