Nummer,,Typ,,,Max. Wdh,,,,,,NR,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,44001,44002,44003,44004,44005,44006,44007,44008,44009,44010,44011,44012,44013,44014,44015,44019,44020,44021,44022,44023,44024,44035,44215,44036,44037,44038,44109,44112,44113,44115,44116,44117,44119,44120,44121,44123,44124,44159,44160,44161,44175,44176,44137,44138,44139,44140,44142,44143,44172,44145,44146,44147,44148,44149,44150,44151,44152,44156,44157,44162,44163,44164,44165,44166,44167,44180,44181,44182,44039,44040,44041,44042,44043,44044,44168,44169,44170,44051,44052,44053,44060,44101,44102,44103,44104,44105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,16,DTM,C,D,99,1,2,Ende zum,DTM+93:CCYYMMDDHHMMZZZ:303,Datum Vertragsende,,"eingehend:

S

T (nur PI 44016/44017)

ausgehend:
S/T","vertrag.netznutzungsvertrag


","eingehend:

vertragsende

endezumtermin

ausgehend:

vertragsende",UTC -> 303,,PROZESSLOGIK,X,X,,X,X,,X,X,,X,X,,X,X,,S,K,S,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,X,X,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,17,DTM,C,D,99,1,2,Datum des bereits bestätigtem Vertragsende,"DTM+Z05:CCYYMMDDHHMMZZZ:303
DTM+Z06:CCYYMMDDHHMMZZZ:303","gegenüber Kunde bestätigtes Kündigungsdatum
gegenüber Lieferant bestätigtes Kündigungsdatum",X,T,,"Z05 -> datumKuendigungKd
Z06 -> datumKuendigungLf",UTC -> 303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,18,DTM,C,D,99,1,2,"Änderung zum, Gültigkeit, Beginndatum",DTM+157:CCYYMMDDHHMMZZZ:303,"Änderung zum, Gültigkeit, Beginndatum",,T,,gueltigAb,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,,X,,X,,X,X,,X,,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,X,X,,X,X,X,X,X,,,,X,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,19,DTM,C,D,99,1,2,Ende zum (nächstmöglichem Termin),DTM+471:CCYYMMDDHHMMZZZ:303,Ende zum (nächstmöglichem Termin),,T,,endezumtermin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,20,DTM,C,D,99,1,2,Bilanzierungsbeginn,DTM+158:CCYYMMDDHHMMZZZ:303,Bilanzierungsbeginn,,S,bilanzierung,bilanzierungsbeginn,UTC -> 303,balancingGroup.timeSlice.validFrom,EDM_DATA,,X,,,,,,,,,,,X,X,,X,K,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,21,DTM,C,D,99,1,2,Bilanzierungsende,DTM+159:CCYYMMDDHHMMZZZ:303,Bilanzierungsende,,S,bilanzierung,bilanzierungsende,UTC -> 303,balancingGroup.timeSlice.validUntil,EDM_DATA,,X,,,X,,S,S,,,,,X,X,,X,K,S,,,,,,,S,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,22,DTM,C,D,99,1,2,Kündigungsfrist des Vertrags,DTM+Z01:03MQ:Z01,Kündigungsfrist des Vertrags (Format ZZRB),,S,vertrag.energieliefervertrag.vertragskonditionen.kuendigungsfrist,zeitraumText,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,23,DTM,C,D,99,1,2,Kündigungstermin des Vertrags,"DTM+Z10:CCYYMMDDHHMMZZZ:303
DTM+Z10:MMDD:106",Kündigungstermin des Vertrags,,S,vertrag.energieliefervertrag.vertragskonditionen,kuendigungstermin,UTC -> 303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,24,DTM,C,D,99,1,2,Lieferbeginndatum in Bearbeitung,DTM+Z07:CCYYMMDDHHMMZZZ:303,Lieferbeginndatum in Bearbeitung,,T,,lieferbeginndatuminbearbeitung,UTC -> 303,,PROZESSLOGIK,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,25,DTM,C,D,99,1,2,Datum für nächste Bearbeitung,DTM+Z08:CCYYMMDDHHMMZZZ:303,Datum für nächste Bearbeitung,,T,,naechsteBearbeitung,,,PROZESSLOGIK,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
