Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,35001,35002,35003,,,,,,,,,,,,,,,,,,,,
1180,23,CCI,M,M,,1,2,Zugeordnete Schaltzeitdefinition,CCI+Z52++NBX,Z52 Code der Schaltzeitdefinition,S,schaltzeitdefinition.schaltzeiten,code,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,,SG27,M,D,200000,1,1,Erforderliches Produkt Leistungskurvendefinitionen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,24,LIN,M,M,1,1,1,Erforderliches Produkt Leistungskurvendefinitionen,LIN+1+Z65,Z65 Erforderliches Produkt Leistungskurvendefinitionen,T,,positionsnummer,,,,,,x,,,,,,,,,,,,,,,,,,,,
1040,25,PIA,C,R,25,1,2,Erforderliches Produkt Leistungskurvendefinitionen,PIA+5+9991000000721:Z11,Z11 Produkt,S,leistungskurvendefinition.leistungskurven,konfigurationsprodukt,,,,,,x,,,,,,,,,,,,,,,,,,,,
1170,,SG28,C,R,999,1,2,Zugeordnete Leistungskurvendefinitionen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,26,CCI,M,M,,1,2,Zugeordnete Leistungskurvendefinitionen,CCI+Z53++NBF,Z53 Code der Leistungskurvendefinition,S,leistungskurvendefinition.leistungskurven,code,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,,SG27,M,D,200000,1,1,Erforderliches Produkt Ad-hoc-Steuerkanal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,27,LIN,M,M,1,1,1,Erforderliches Produkt Ad-hoc-Steuerkanal,LIN+1+Z66,Z66 Erforderliches Produkt Ad-hoc-Steuerkanal,T,,positionsnummer,,,,,,x,,,,,,,,,,,,,,,,,,,,
1040,28,PIA,C,R,25,1,2,Erforderliches Produkt Ad-hoc-Steuerkanal,PIA+5+9991000000739:Z11,Z11 Produkt,S,AD_HOC_STEUERKANAL,konfigurationsprodukt,,,,,,x,,,,,,,,,,,,,,,,,,,,
1020,,SG27,M,D,200000,1,1,Erforderliches Messprodukt für Werte nach Typ 2 aus Backend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,29,LIN,M,M,1,1,1,Erforderliches Messprodukt für Werte nach Typ 2 aus Backend,LIN+1+Z67,Z67 Erforderliches Messprodukt für Werte nach Typ 2 aus Backend,T,,positionsnummer,,,,,,x,,,,,,,,,,,,,,,,,,,,
