Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,31001,31002,31003,31009,31004,31005,31006,31007,31008,31010,31011,,,,,,,,,,,,
0130,20,RFF,M,M,1,1,1,Referenz auf Nummer des zugehörigen Dokuments,RFF+ACE:XXXXX,Dokumentennummer Referenznachricht,S,rechnung,referenzDokumentennummer,,,,,X,X,X,,X,X,X,X,,X,,,,,,,,,,,,
0120,,SG1,C,D,99999,1,1,Preise des Netzbetreibers,,,,,,,,,,Muss,Muss,Muss,,Muss,Muss,Muss,Muss,,Muss,,,,,,,,,,,,
0130,21,RFF,M,M,1,1,1,Preise des Netzbetreibers,RFF+Z56:9907165000001,Z56 Preise des Netzbetreibers,S,rechnung,preisNetzbetreiberCodenummer,,,,,,,,,,,,,,,,,,,,,,,,,,
0220,,SG2,C,R,99,1,1,Absender,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,
0230,22,NAD,M,M,1,1,1,Name und Anschrift des Nachrichtensenders,NAD+MS+9900020455303::293++Rechnungsersteller GmbH:::::Z01+Teststraße::123+Testort++12345+DE,Name und Anschrift Absender,T,absender,"rollencodenummer
rollencodetyp
name1
name2
name3
name4
anrede
gewerbekennzeichnung = true/false
partneradresse.postleitzahl
partneradresse.ort
partneradresse.strasse
partneradresse.postfach
partneradresse.hausnummer
partneradresse.ortsteil
partneradresse.landescode","9 = GLN
293 = BDEW
332 = DVGW",,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,
0270,,SG3,C,R,9999,1,2,"Steuernummer, Umsatzsteuer-ID",,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,
0280,23,RFF,M,M,1,1,2,"Steuernummer, Umsatzsteuer-ID","RFF+VA:DE999999999
RFF+FC:99/999/9999/9","Umsatzsteueridentfikationsnummer Absender
Steuernummer Absender",T,absender,"umsatzsteuerId
steuernummer",,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,
0330,,SG5,C,O,5,1,2,Ansprechpartner,,,,,,,,,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,,,,,,,,,,,,
0340,24,CTA,M,M,1,1,2,Ansprechpartner,CTA+IC+:M Mustermann,Ansprechpartner Name,T,absender.ansprechpartner,nachname,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,
0350,25,COM,C,R,5,5,3,Kommunikationsverbindung,COM+XXXXXXXXXX:TE,Ansprechpartner Kommunikation EM = Email ; FX = Telefax ; TE = Telefon ; AJ = weiteres Telefon ; AL = Handy,T,absender.ansprechpartner,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,
0220,,SG2,C,R,99,1,1,Empfänger,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,
0230,26,NAD,M,M,1,1,1,Name und Anschrift des Nachrichtenempfängers,NAD+MR+9900020455303::293++Rechnungsersteller GmbH:::::Z02+Teststraße::123+Testort+Testortsteil+12345+DE,Name und Anschrift Empfänger,T,empfaenger,"rollencodenummer
rollencodetyp
name1
name2
name3
name4
anrede
gewerbekennzeichnung = true/false
partneradresse.postleitzahl
partneradresse.ort
partneradresse.strasse
partneradresse.postfach
partneradresse.hausnummer
partneradresse.ortsteil
partneradresse.landescode","9 = GLN
293 = BDEW
332 = DVGW",,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,
0270,,SG3,C,D,9999,1,2,"Steuernummer, Umsatzsteuernummer",,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,
0280,27,RFF,M,M,1,1,2,"Steuernummer, Umsatzsteuernummer","RFF+VA:DE999999999
RFF+FC:99/999/9999/9","Umsatzsteuernummer Empfänger
Steuernummer Empfänger",T,empfaenger,"umsatzsteuerId
steuernummer",,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,
0220,,SG2,C,D,99,1,1,Lieferanschrift,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,Muss,,,,,,,,,,,,
0230,28,NAD,M,M,1,1,1,Adresse der Leistungserbringung,NAD+DP++++Musterstrasse::123+Testort++12345+DE,Adresse der Leistungserbringung,S,"marktlokation
messlokation","lokationsadresse (Marklokation) / messadresse (Messlokation)
.postleitzahl
.ort
.strasse
.hausnummer
.postfach
.adresszusatz
.landescode
.zusatzInformation.zusatz1-5
",,,,X,X,X,X,X,X,X,,,,X,,,,,,,,,,,,
0240,29,LOC,C,R,25,1,2,Meldepunkt,LOC+172+DE000562668020O6G56M11SN51G21M24S,Meldepunkt,"S
","marktlokation
messlokation
netzlokation
STEUERBARE_RESSOURCE
TECHNISCHE_RESSOURCE","marktlokationsId
messlokationsId
netzlokationsId
ressourcenId
ressourcenId",,,,X,X,X,X,X,X,X,,,,X,,,,,,,,,,,,
0220,,SG2,C,D,99,1,1,Netzbetreiberkonto,,,,,,,,,,,,,Muss,,,Muss,Muss,,,,,,,,,,,,,,
0230,30,NAD,M,M,1,1,1,Netzbetreiberkontonummer,NAD+ZSH+NBKCODE,Netzkonto,S,rechnung,netzkonto,,,,,,,,X,,,X,X,,,,,,,,,,,,,,
0400,,SG7,C,R,99,1,1,Referenzwährung,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,
0410,31,CUX,M,M,1,1,1,Währungsangaben,CUX+2:EUR:4,Währung der Rechnung,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,
0430,,SG8,C,R,10,1,1,Fälligkeitsdatum,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,
0440,32,PYT,M,M,1,1,1,Zahlungsbedingungen,PYT+3,Fixdatum Zahlungsbedingungen,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,
0450,33,DTM,C,R,5,1,2,Fälligkeitsdatum,DTM+265:CCYYMMDDHHMMZZZ:303,Fälligkeitsdatum,S,rechnung,faelligkeitsdatum,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,
1090,,SG26,C,D,9999999,9999999,1,Rechnungspositionen,,,,,,,,,Muss,Muss,Muss,Muss,,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,
