Nummer,,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,25001,25003,25002,25004,25005,25006,25007,25008,25009
0490,47,CAV,C,R,99,1,4,Übermittelbarkeit der ausgerollten Zählzeitdefinition,"CAV+ZD5:::Z23
CAV+ZD5:::Z24","Z23 elektronisch übermittelbar
Z24 elektronisch nicht übermittelbar",S,zaehlzeitdefinition.zaehlzeiten,uebermittelbarkeit,"Z23 -> ELEKTRONISCH
Z24 -> NICHT_ELEKTRONISCH",,,,,,X,,,,,
0490,48,CAV,C,D,99,1,4,Ermittlung des Leistungsmaximums bei atypischer,"CAV+ZD4:::Z25
CAV+ZD4:::Z26","Z25 Verwendung des Hochlastzeitfensters
Z26 keine Verwendung des Hochlastzeitfensters",S,zaehlzeitdefinition.zaehlzeiten,ermittlungLeistungsmaximum,"Z25 -> VERWENDUNG_HOCHLASTFENSTER
Z26 -> KEINE_VERWENDUNG_HOCHLASTFENSTER",,,,,,X,,,,,
0490,49,CAV,C,D,99,1,4,Bestellbarkeit der Zählzeitdefinition,"CAV+ZD7:::Z27
CAV+ZD7:::Z28","Z27 Zählzeitdefinition ist bestellbar
Z28 Zählzeitdefinition ist nicht bestellbar",S,zaehlzeitdefinition.zaehlzeiten,istBestellbar,"Z27 -> true
Z28 -> false",,,,,,X,,,,,
0490,50,CAV,C,D,99,1,4,Zählzeitdefinitionstyp,"CAV+ZD3:::Z29:Beschreibungstext
CAV+ZD3:::Z30:Beschreibungstext
CAV+ZD3:::Z31:Beschreibungstext
CAV+ZD3:::Z32:Beschreibungstext
CAV+ZD3:::Z35:Beschreibungstext","Z29 Wärmepumpe
Z30 Nachtspeicherheizung
Z31 Schwachlastzeitfenster
Z32 sonstiger Zählzeitdefinitionstyp
Z35 Hochlastzeitfenster",S,zaehlzeitdefinition.zaehlzeiten,"typ
beschreibungTyp","Z29 -> WAERMEPUMPE
Z30 -> NACHTSPEICHERHEIZUNG
Z31 -> SCHWACHLASTZEITFENSTER
Z32 -> SONSTIGE
Z35 -> HOCHLASTZEITFENSTER",,,,,,X,,,,,
0400,,SG8,C,D,99999,99999,2,Register der Zählzeitdefinition,,,,,,,,,,,,Muss,,,,,
0410,51,SEQ,M,M,1,1,2,Register der Zählzeitdefinition,SEQ+Z41,Register der Zählzeitdefinition,,,,,,,,,,X,,,,,
0430,52,RFF,C,R,9,1,3,Referenz auf eine Zählzeitdefinition,RFF+Z27:ZZ1,Code der Zählzeitdefinition,S,zaehlzeitdefinition.zaehlzeitregister,zaehlzeitDefinition,,,,,,,X,,,,,
0470,,SG9,C,R,99,1,3,Register,,,,,,,,,,,,Muss,,,,,
0480,53,CCI,M,M,1,1,3,Code des Zählzeitregister,CCI+Z38++RZ1,Code des Zählzeitregisters,S,zaehlzeitdefinition.zaehlzeitregister,register,,,,,,,X,,,,,
0470,,SG9,C,D,99,1,3,Schwachlastfähigkeit,,,,,,,,,,,,Muss,,,,,
