Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,15001,15002,15003,15004,,,,,,,,,
1180,26,FTX,C,D,99,1,2,Allgemeine Information (Feld für allgemeine Hinweise),FTX+ACB+++Text:Text2:Text3:Text4:Text5,ACB Zusätzliche Informationen (für allgemeine Hinweise),S,angebot.positionsdaten,freitext,,,,Kann,,,,,,,,,,,,
1230,,SG28,C,D,999,1,2,Zähleinrichtung,,,,,,,,,,,,,,,,,,,,,
1240,27,CCI,M,M,1,1,2,Zähleinrichtung,CCI+++E13,E13 Zählertyp,,,,,,,x,,,,,,,,,,,,
1250,28,CAV,C,R,10,1,3,Zähleinrichtung/Zählertyp,CAV+EHZ:::Z01,"Stromzählereinrichtungen:
AHZ analoger Haushaltszähler (Drehstrom)
WSZ analoger Wechselstromzähler
LAZ Lastgangzähler
MAZ Maximumzähler
Gaszählereinrichtungen:
DKZ Drehkolbengaszähler
BGZ Balgengaszähler
TRZ Turbinenradgaszähler
UGZ Ultraschallgaszähler
WGZ Wirbelgaszähler
MRG Messdatenregistriergerät
Strom und Gas:
EHZ elektronischer Haushaltszähler
MME moderne Messeinrichtung nach MsbG
IVA Individuelle Abstimmung (Sonderausstattung)
:
Zählertyp:
Z01 EDL40
Z02 EDL21
Z03 sonstiger EHZ
Z04 Standard
Z05 MeDa-Zähler ",S,zaehler,"zaehlertyp
zaehlertypSpezifikation","AHZ -> DREHSTROMZAEHLER
WSZ -> WECHSELSTROMZAEHLER
LAZ -> LEISTUNGSZAEHLER
MAZ -> MAXIMUMZAEHLER
DKZ -> DREHKOLBENZAEHLER
BGZ -> BALGENGASZAEHLER
TRZ -> TURBINENRADGASZAEHLER
UGZ -> ULTRASCHALLGASZAEHLER
WGZ -> WIRBELGASZAEHLER
MRG -> MESSDATENREGISTRIERGERAET
EHZ -> ELEKTRONISCHERHAUSHALTSZAEHLER
MME -> MODERNE_MESSEINRICHTUNG
IVA -> SONDERAUSSTATTUNG
:
Z01 -> EDL40
Z02 -> EDL21
Z03 -> SONSTIGER_EHZ
Z04 -> MME_STANDARD
Z05 -> MME_MEDA",,,x,,,,,,,,,,,,
1250,29,CAV,C,D,10,1,3,Zähleinrichtung/Zählergröße (Gas),CAV+:::G16,"G10 Gaszähler G10
G100 Gaszähler G100
G1000 Gaszähler G1000
G10000 Gaszähler G10000
G12500 Gaszähler G12500
G16 Gaszähler G16
G160 Gaszähler G160
G1600 Gaszähler G1600
G16000 Gaszähler G16000
G2.5 Gaszähler G2.5
G25 Gaszähler G25
G250 Gaszähler G250
G2500 Gaszähler G2500
G350 Gaszähler G350
G4 Gaszähler G4
G40 Gaszähler G40
G400 Gaszähler G400
G4000 Gaszähler G4000
G6 Gaszähler G6
G65 Gaszähler G65
G650 Gaszähler G650
G6500 Gaszähler G6500",S,zaehler,zaehlergroesse (ENUM),"G10 =""GAS_G10""
G100 =""GAS_G100""
G1000 =""GAS_G1000""
G10000 =""G10000""
G12500 =""G12500""
G16 =""GAS_G16""
G160 =GAS_G160""
G1600 =""GAS_G1600""
G16000 =""GAS_G16000""
G2.5 = ""GAS_G2P5""
G25 =""GAS_G25""
G250 =""GAS_G250""
G2500 =""GAS_G2500""
G350 =""GAS_G350""
G4 =""GAS_G4""
G40 =""GAS_G40""
G400 =""GAS_G400""
G4000 =""GAS_G4000""
G6 =""GAS_G6""
G65 =""GAS_G65""
G650 =""GAS_G650""
G6500 =""GAS_G6500""",,,x,,,,,,,,,,,,
1250,30,CAV,C,D,10,1,3,Zähleinrichtung/Tarifanzahl,CAV+ETZ,"ETZ Eintarif
ZTZ Zweitarif
NTZ Mehrtarif",S,zaehler,tarifart,"ETZ -> EINTARIF
ZTZ -> ZWEITARIF
NTZ -> MEHRTARIF",,,x,,,,,,,,,,,,
1250,31,CAV,C,D,10,1,3,Zähleinrichtung/Energierichtung,CAV+ERZ,"ERZ Einrichtungszähler
ZRZ Zweirichtungszähler",S,zaehler,zaehlerauspraegung,"ERZ -> EINRICHTUNGSZAEHLER
ZRZ -> ZWEIRICHTUNGSZAEHLER",,,x,,,,,,,,,,,,
1230,,SG28,C,D,999,1,2,Wandler,,,,,,,,,,,,,,,,,,,,,
1240,32,CCI,M,M,1,1,2,Wandler,CCI+++Z25,Z25 Wandler,,zaehler.geraete.geraeteeigenschaften,geraetetyp = WANDLER,,,,x,,,,,,,,,,,,
1250,33,CAV,C,R,10,1,3,Wandlertyp und Faktor,CAV+MIW:::10,"MBW Blockstromwandler
MIW Messwandlersatz Strom
MPW Kombimesswandlersatz (Strom und Spannung)
MUW Messwandlersatz Spannung",S,zaehler.geraete.geraeteeigenschaften,"geraetemerkmal (ENUM)

faktor","MBW -> BLOCKSTROMWANDLER
MIW -> MESSWANDLERSATZ_IMS_MME
MPW -> KOMBIMESSWANDLER
MUW -> SPANNUNGSWANDLER",,,x,,,,,,,,,,,,
1230,,SG28,C,D,999,1,2,Mengenumwerter,,,,,,,,,,,,,,,,,,,,,
1240,34,CCI,M,M,1,1,2,Mengenumwerter,CCI+++Z64,Z64 Mengenumwerter,,zaehler.geraete.geraeteeigenschaften,geraetetyp = MENGENUMWERTER,,,,x,,,,,,,,,,,,
1250,35,CAV,C,R,10,1,3,Mengenumwertertyp,CAV+DMU,"DMU Dichtemengenumwerter
TMU Temperaturmengenumwerter
ZMU Zustandsmengenumwerter",S,zaehler.geraete.geraeteeigenschaften,geraetemerkmal (ENUM),"DMU -> DICHTEMENGENUMWERTER
TMU -> TEMPERATURMENGENUMWERTER
ZMU -> ZUSTANDSMENGENUMWERTER",,,x,,,,,,,,,,,,
1230,,SG28,C,D,999,1,2,Kommunikationseinrichtung,,,,,,,,,,,,,,,,,,,,,
1240,36,CCI,M,M,1,1,2,Kommunikationseinrichtung,CCI+++Z26,Z26 Kommunikationseinrichtung,,zaehler.geraete.geraeteeigenschaften,geraetetyp = KOMMUNIKATIONSEINRICHTUNG,,,,x,,,,,,,,,,,,
1250,37,CAV,C,R,10,1,3,Kommunikationseinrichtung,CAV+GSM,"GSM GSM/GPRS/UMTS-Kom.-Einr.
ETH Ethernet-Kom.-Einricht. LAN/WLAN
PLC PLC-Kom.-Einrichtung
PST Festnetz-Kom.-Einricht. TAE
DSL DSL-Kom.Einr.
LTE LTE-Kom.-Einr.",S,zaehler.geraete.geraeteeigenschaften,geraetemerkmal (ENUM),"GSM -> MODEM_GSM
ETH -> ETHERNET_KOM
PLC -> PLC_KOM
PST -> MODEM_FESTNETZ
DSL -> DSL_KOM
LTE -> LTE_KOM",,,x,,,,,,,,,,,,
1230,,SG28,C,D,999,1,2,Technische Steuereinrichtung,,,,,,,,,,,,,,,,,,,,,
1240,38,CCI,M,M,1,1,2,Technische Steuereinrichtung,CCI+++Z27,Z27 Technische Steuereinrichtung,,zaehler.geraete.geraeteeigenschaften,geraetetyp = STEUEREINRICHTUNG,,,,x,,,,,,,,,,,,
