0100,16,RFF,M,M,1,1,1,Referenz Angebotsnummer,RFF+AAG:AFN9523',Angebotsnummer,,,angebotsnummer,,,Prozesslogik,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
0090,,SG1,C,D,9999,1,1,Referenz Vorgangsnummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100,17,RFF,M,M,1,1,1,Referenz Vorgangsnummer,RFF+TN:AFN9523,Transaktions-Referenznummer,T,,anfragereferenznummer,,,Prozesslogik,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
0090,,SG1,C,D,9999,1,1,Referenz auf Redispatch-Maßnahme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100,18,RFF,M,M,1,1,1,ID der Redispatch-Maßnahme,RFF+AGK:AFN9523,Anwendungsreferenznummer,"MaBiS
T",,anwendungsreferenznummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0090,,SG1,C,D,9999,1,1,"Referenznummer des Vorgangs der Anmeldung nach
WiM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,RFF,M,M,1,1,1,Referenznummer des Vorgangs der Anmeldung nach WiM,RFF+Z41:3546546E,Referenznummer des Vorgangs der Anmeldung nach WiM,T,,vorgangsreferenznummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0090,,SG1,C,D,9999,1,1,Referenznummer der Nachricht der betroffenen Antwort auf Bestellung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,RFF,M,M,1,1,1,Referenznummer der Nachricht der betroffenen Antwort auf Bestellung,RFF+Z42:3546546E',Referenznummer der Nachricht der betroffenen Antwort auf Bestellung (Bestellbestätigung),T,,nachrichtenReferenzBestellbestaetigung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0090,,SG1,C,D,9999,1,1,Referenznummer des Vorgangs der betroffenen Antwort auf Bestellung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,RFF,M,M,1,1,1,Referenznummer des Vorgangs der betroffenen Antwort auf Bestellung,RFF+Z43:9',Referenznummer des Vorgangs der betroffenen Antwort auf Bestellung (Bestellbestätigung),T,,vorgangsReferenzBestellbestaetigung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
